,Name,avg(Rate)
0, Himachal Pradesh: Pong Dam (m),408
1, Rajasthan: Mahi Bajaj Sagar (m),276
2, Rajasthan: Jhakam (m),356
3, Rajasthan: Rana Pratap Sagar (m),351
4, Punjab: Thein (m),501
