,Name,avg(Rate)
0, Uttrakhand: Tehri (m),801
1, Madhya Pradesh: Gandhi Sagar (m),398
2, Madhya Pradesh: Barna (m),345
3, Madhya Pradesh: Bargi (m),420
4, Uttar Pradesh: Rihand (m),260
5, Uttar Pradesh: Matatila (m),305
6, Chhattisgarh: Minimata Bangoi (m),355
7, Madhya Pradesh: Tawa (m),350
8, Madhya Pradesh: Indira Sagar (m),256
9, Madhya Pradesh: Bansagar (m),338
10, Chhattisgarh: Mahanadi (m),348
